Date,AAPL,ABB,ADBE,AEP,AMGN,AMZN,BA,BBD,BP,BTI,C,CAT,CB,CELG,CODI,COST,CRH,CVS,D,E,EIX,EOG,ETN,FDX,GOOGL,GSK,HMC,HON,HRG,IEP,INTC,JNJ,JPM,MDLZ,MS,MSFT,NEE,NFLX,NVDA,NVS,OKE,OXY,PICO,REX,RIO,SAP,SCHW,SU,TM,TSM,UN,WBA,WEC,WMT
2008-01-02,28.608572,29.11,43.25,46.81,47.04,97.43,87.84,16.113197,73.96,39.28,298.9,72.67,62.09,23.795,15.12,69.66,35.96,39.96,47.5,73.89,53.75,46.0,48.87,88.57,349.03403,50.77,33.61,61.193943,7.31,131.2537,26.34,67.0,43.79,32.58,53.4,35.96,68.14,3.892857,34.25,54.8,19.676939,76.02217,33.84,15.89,105.7275,51.93,25.69,55.655,107.65,9.850746,36.73,38.67,24.285,47.63
2008-01-03,28.198572,28.35,42.21,47.06,47.1,97.25,87.64,15.241673,75.24,39.27,293.9,71.49,61.46,24.94,15.03,68.88,37.94,37.79,46.92,75.08,54.41,47.18,48.25,87.69,343.76877,50.95,33.29,60.14951,7.34,131.28287,25.4,66.4,42.65,32.27,51.89,35.65,67.87,4.042857,33.86,55.04,19.790754,77.4401,33.8,16.14,107.5625,50.93,24.94,56.73,107.5,9.59204,36.74,36.0,23.99,46.9
2008-01-04,27.571428,27.37,41.49,46.91,46.29,93.4,87.16,14.750813,75.62,39.14,290.3,69.94,61.49,25.2,14.86,66.9,37.78,37.7,46.94,75.08,54.18,46.105,47.78,86.76,340.82083,51.33,33.02,59.851097,7.29,130.53406,23.6,66.4,41.8,32.19,50.69,35.2,69.4,3.795714,31.93,55.59,19.624409,76.88443,33.61,16.0,105.885,50.57,24.65,56.5,106.5,9.412935,36.44,34.98,23.9,46.37
2008-01-07,26.22857,26.56,40.75,47.71,45.76,90.57,86.3,15.041323,75.28,39.215,287.6,69.13,62.21,26.345,15.58,66.64,37.64,38.5,47.71,75.2,54.32,45.265,46.92,85.33,331.47147,52.8,32.95,58.508255,7.29,131.15643,23.03,67.21,41.58,32.12,49.84,34.8,73.75,3.564286,30.45,55.66,19.475573,75.19824,34.65,16.23,100.8625,48.58,24.52,55.265,105.12,8.955224,37.06,35.2,24.51,46.81
2008-01-08,26.065714,26.92,40.19,48.26,47.95,91.83,83.37,15.512146,75.87,39.205,287.0,69.49,61.99,25.735,15.45,66.87,36.2,39.05,48.23,75.3,55.23,45.39,46.95,84.7,330.3103,54.2,32.49,58.180004,7.28,131.37038,23.13,67.75,41.58,32.3,48.97,34.71,73.16,3.552857,29.29,57.58,19.593767,74.51802,34.86,16.37,102.8725,48.95,24.54,55.695,105.12,8.925373,37.18,35.5,24.805,47.08
2008-01-09,25.642857,26.18,39.62,48.39,48.0,87.8,80.43,15.17155,72.01,39.595,276.0,67.26,61.18,26.035,14.89,67.35,34.3,37.97,48.11,74.69,55.14,44.76,44.44,82.91,326.997,54.64,31.69,57.3544,7.21,131.27313,22.87,68.29,40.34,31.83,48.01,34.54,71.72,3.357143,28.9,58.76,21.204693,73.19589,33.71,15.83,99.5475,48.16,22.95,54.34,106.44,9.094527,35.93,34.5,24.645,47.0
2008-01-10,25.857143,26.42,39.5,48.54,47.78,85.97,83.19,15.457049,71.7,40.52,285.7,68.2,62.43,26.46,14.85,70.45,35.85,37.95,48.5,74.83,55.18,44.76,44.79,85.86,328.92892,54.47,31.49,58.249634,7.25,129.90196,22.7,68.23,42.14,32.85,49.13,34.5,72.68,3.571429,28.74,59.17,21.568027,71.8067,34.6,15.61,101.8575,49.32,24.01,53.48,104.94,9.044776,35.31,34.92,24.53,48.77
2008-01-11,25.407143,26.02,39.19,48.45,48.0,84.03,81.78,15.296769,70.83,39.31,292.7,68.33,61.62,27.66,14.95,69.49,34.95,37.7,48.08,74.18,55.19,44.77,44.32,84.76,325.06006,53.56,31.5,58.16011,7.25,128.4141,22.36,68.03,42.1,32.51,49.79,34.24,72.64,3.521429,28.2,58.59,21.423569,70.96361,33.93,15.5,100.925,48.58,23.61,52.665,104.74,8.935324,33.64,34.4,24.12,48.61
2008-01-14,25.631428,27.18,38.64,48.54,48.35,83.32,82.37,15.371901,70.74,38.69,291.8,67.5,60.73,27.5,15.06,66.98,35.83,37.22,47.83,74.87,55.22,46.78,44.755,85.39,329.02902,53.53,31.69,57.811962,7.19,124.23248,23.2,68.29,41.75,32.12,49.49,34.57,71.98,3.492857,28.89,58.08,21.616179,72.47735,33.46,16.08,102.13,51.75,23.4,53.0,104.9,9.044776,33.8,33.9,24.11,47.98
2008-01-15,25.602858,25.61,38.42,48.65,48.45,81.01,81.8,14.931129,68.8,37.635,283.6,66.73,62.0,27.125,14.69,64.61,35.0,36.19,47.75,73.84,55.7,46.475,43.975,84.4,324.84985,53.0,30.39,57.264877,7.18,122.433426,23.2,68.17,40.73,31.79,48.58,34.38,71.83,3.307143,28.08,57.26,21.594292,71.18396,33.21,18.0,100.5225,49.49,22.95,51.855,104.0,9.054727,32.93,33.25,24.17,47.43
2008-01-16,24.144285,25.0,38.37,49.11,48.25,82.36,81.31,14.355122,67.73,37.685,272.3,66.2,61.85,27.975,14.89,65.1,34.63,37.35,47.52,71.89,55.15,45.92,43.0,85.12,320.3153,52.29,29.53,58.110374,7.22,119.12704,20.39,68.85,42.65,31.5,48.79,33.65,71.14,3.222857,25.36,56.55,21.585537,69.12413,32.82,18.7,94.84,50.0,23.29,49.3,100.26,8.686567,33.34,33.6,24.32,48.05
2008-01-17,23.622858,24.68,37.52,48.59,48.32,82.25,82.49,14.330077,66.84,37.595,275.7,64.83,60.66,27.975,14.79,65.56,35.3,37.89,46.98,70.16,53.43,45.335,42.58,85.34,313.1832,52.09,29.94,57.83186,7.18,118.51439,20.05,68.56,41.68,31.27,47.98,33.8,68.02,3.227143,24.72,54.2,21.537384,69.287,32.59,18.91,90.9775,50.08,23.2,47.925,101.28,8.726368,33.6,33.73,24.14,47.93
2008-01-18,23.678572,24.2,36.01,46.6,48.02,82.31,80.82,13.769096,66.02,37.71,251.5,65.05,58.85,28.0,14.71,65.83,35.48,37.9,45.5,69.05,52.13,43.19,41.375,84.45,305.3003,51.67,30.3,56.648167,7.02,117.55164,19.65,68.16,40.67,30.99,46.55,34.0,67.19,3.238571,24.97,54.45,21.0865,67.45711,32.09,18.98,94.0975,50.24,22.65,46.26,100.84,8.79602,33.9,34.8,23.64,48.51
2008-01-22,22.854286,23.33,34.49,44.25,46.67,79.72,78.74,13.333333,62.93,35.775,253.8,64.45,59.1,26.75,13.78,66.8,36.34,37.66,43.33,64.8,50.6,42.55,41.28,84.73,299.04904,49.0,29.02,54.161415,7.06,112.01832,19.0,66.75,42.0,30.11,50.13,32.53,62.17,3.247143,24.18,51.95,20.39923,63.433247,31.71,19.0,84.2475,49.33,22.49,44.525,97.83,8.238806,32.13,34.43,22.965,49.53
2008-01-23,20.0,23.96,34.48,44.38,45.4,76.8,77.19,13.223141,62.2,34.405,269.0,65.19,60.35,26.95,14.14,69.0,37.39,37.74,43.52,63.02,50.85,41.47,41.15,89.51,284.28427,48.43,29.36,56.250286,7.11,111.83355,20.21,65.57,46.15,30.63,52.09,32.05,63.6,3.4,24.74,53.05,20.145334,62.1207,32.16,18.86,86.25,46.19,22.6,42.385,99.72,8.587065,31.25,35.66,22.975,50.36
2008-01-24,20.1,24.76,34.7,44.64,46.13,77.88,78.34,13.939394,63.59,35.125,274.8,65.97,61.29,27.065,14.59,68.4,39.82,36.65,43.98,64.79,51.08,43.075,41.445,89.89,290.13513,48.17,29.37,56.49896,7.2,112.62125,20.74,64.54,46.01,30.6,52.09,33.36,63.22,3.392857,25.88,51.57,20.228506,63.32786,32.83,19.0,89.625,46.5,22.87,45.045,100.21,8.855721,32.18,35.08,22.84,50.24
2008-01-25,19.87,25.34,35.62,43.17,48.91,81.43,79.67,14.274981,65.03,35.785,281.0,67.75,61.69,26.3,14.55,67.98,38.54,36.8,42.66,66.04,50.89,43.71,42.465,91.45,297.7978,48.15,30.75,59.373642,7.29,113.165825,21.28,63.99,45.84,30.15,52.39,35.0,63.14,3.244286,27.46,51.23,20.377342,64.62125,32.35,18.96,94.2175,46.82,22.54,46.55,104.0,9.004975,32.68,35.51,22.58,49.26
2008-01-28,19.028572,24.98,35.32,42.28,48.34,77.4,77.72,13.87428,63.84,34.97,276.7,68.63,58.95,27.01,14.15,66.37,40.09,35.75,42.21,65.03,51.17,42.705,41.505,92.02,286.4064,47.71,30.15,58.8564,7.23,111.70713,20.3,63.13,45.61,30.59,49.68,33.1,62.44,3.285714,25.11,50.25,19.900192,62.494347,32.42,18.78,93.6675,46.33,21.61,45.015,102.35,8.706468,32.37,34.47,22.485,48.78
2008-01-29,18.97,25.45,35.85,43.77,48.21,75.9,81.06,13.819183,63.85,35.465,283.7,69.62,59.83,27.455,14.13,66.8,39.94,36.58,42.83,65.02,51.88,43.125,41.56,93.84,280.94595,47.75,30.85,58.91608,7.31,112.4073,20.61,63.39,47.8,30.67,50.21,32.89,63.5,3.322857,25.51,50.52,20.06216,66.10624,32.39,18.99,94.625,47.99,21.85,45.81,103.82,8.925373,32.26,34.83,22.785,49.19
2008-01-30,19.35,25.11,36.45,43.34,48.02,77.42,84.87,13.804157,63.8,35.835,291.3,70.47,60.37,27.535,14.11,67.6,39.96,37.04,43.76,65.05,52.1,44.485,41.8,93.49,280.49548,47.43,32.42,58.945923,7.23,112.71849,21.22,63.0,49.29,30.22,51.12,32.8,63.99,3.358572,25.57,50.5,20.394852,67.629555,32.3,18.94,97.46,47.8,22.77,47.825,106.2,9.114428,32.7,35.0,23.005,50.0
2008-01-31,19.52143,25.31,35.13,43.08,47.09,78.87,83.84,13.628851,64.05,35.835,287.0,71.64,59.02,28.16,14.81,69.58,38.89,39.21,43.49,64.97,52.58,44.06,41.71,94.3,286.78677,47.74,31.71,59.095127,7.02,112.28088,21.34,63.39,48.19,29.74,50.03,32.74,65.09,3.621428,25.05,50.86,20.67939,65.598465,33.16,18.94,101.7375,48.2,22.43,47.47,108.9,9.323383,32.65,35.5,22.855,51.3
