Date,AAPL,ABB,ADBE,AEP,AMGN,AMZN,BA,BBD,BP,BTI,C,CAT,CB,CELG,CODI,COST,CRH,CVS,D,E,EIX,EOG,ETN,FDX,GOOGL,GSK,HMC,HON,HRG,IEP,INTC,JNJ,JPM,MDLZ,MS,MSFT,NEE,NFLX,NVDA,NVS,OKE,OXY,PICO,REX,RIO,SAP,SCHW,SU,TM,TSM,UN,WBA,WEC,WMT
2008-01-02,27.507143,28.23,41.45,46.06,46.26,94.7,86.0,14.986226,72.95,38.465,288.5,70.05,60.77,23.035,14.5,68.11,35.27,39.24,46.4,73.16,52.67,45.0,46.705,85.06,339.2042,49.85,32.96,59.403484,7.26,125.44807,24.95,65.72,42.0,31.94,50.31,35.0,66.25,3.662857,32.56,54.3,19.414288,74.01983,32.55,15.02,103.65,50.36,24.44,54.555,106.02,9.442786,36.11,37.25,23.75,46.46
2008-01-03,27.527143,27.79,41.5,46.28,45.25,94.52,86.74,14.765841,74.66,38.825,288.9,69.94,60.4,23.475,14.53,66.91,36.32,36.37,46.34,74.4,53.05,45.555,46.89,86.32,338.5986,50.54,32.89,59.264225,7.19,128.13206,24.38,65.36,41.76,31.78,50.58,34.86,66.35,3.664286,32.63,54.77,19.53248,75.06411,32.64,15.45,104.3425,50.31,24.59,54.63,106.29,9.353234,36.27,34.91,23.62,46.23
2008-01-04,25.555714,26.68,40.01,45.95,44.6,88.5,85.69,14.420236,73.58,38.555,280.4,68.1,60.36,24.475,14.56,65.38,36.82,36.2,46.08,73.73,52.81,44.405,45.955,83.18,327.82782,50.18,32.4,57.811962,7.16,126.49833,22.35,65.72,40.63,31.38,48.86,34.09,66.39,3.478571,29.8,54.64,19.374891,74.29766,32.16,15.13,101.065,49.35,23.78,54.665,103.75,8.855721,35.97,34.18,23.365,45.37
2008-01-07,24.318571,25.03,39.68,46.25,44.55,85.47,82.17,14.490358,74.35,38.8,279.3,67.8,60.27,25.055,14.5,64.8,35.8,36.84,46.49,74.44,53.6,43.57,45.49,82.65,318.994,51.81,32.28,56.56859,7.15,125.44807,22.36,65.75,40.16,31.38,47.95,34.25,68.89,3.385714,26.35,54.89,19.147259,71.567184,32.62,15.23,98.33,47.82,23.91,53.08,103.72,8.587065,36.7,34.26,23.795,45.59
2008-01-08,24.4,26.01,39.19,47.49,45.35,86.93,79.65,14.765841,73.71,38.64,270.1,67.04,60.05,24.8,14.7,64.91,34.8,37.43,47.26,73.69,53.87,43.34,43.85,82.66,315.81583,53.35,31.47,56.6979,7.17,126.887314,22.23,66.6,39.42,31.5,45.88,33.4,71.37,3.247143,26.42,56.88,18.98967,71.1169,33.13,15.75,98.4975,47.75,22.67,53.51,102.87,8.656716,36.5,34.1,24.42,45.88
2008-01-09,24.042856,25.34,38.92,47.6,46.25,80.24,77.81,14.470323,70.84,39.12,265.0,65.25,59.44,24.685,14.5,64.9,33.21,36.38,47.32,73.8,53.92,43.625,42.96,81.17,311.56656,53.91,31.07,55.93198,7.15,127.91813,22.26,66.99,38.54,31.08,44.94,33.35,70.18,3.097143,27.43,57.93,19.479952,70.589966,32.44,15.19,96.255,47.26,21.55,52.6,103.51,8.76617,35.42,33.09,24.17,45.24
2008-01-10,25.05857,25.18,38.69,47.72,47.09,82.97,79.86,14.946156,70.72,39.85,269.2,65.54,60.24,25.51,14.37,66.27,32.66,36.95,47.43,73.76,53.89,43.59,42.625,82.01,320.37537,53.75,30.8,56.2105,7.16,124.991005,22.2,67.35,39.3,31.61,45.92,33.78,70.79,3.181429,27.73,58.64,20.968307,68.45349,32.56,15.0,98.25,47.92,22.09,51.66,102.75,8.835821,34.73,33.5,23.93,47.1
2008-01-11,24.285715,25.31,37.92,47.52,47.26,80.29,80.0,14.911095,70.06,38.665,276.0,66.0,59.88,26.155,14.32,66.0,33.77,36.66,46.74,73.35,53.79,43.785,42.735,83.44,315.37036,53.02,30.99,55.93198,7.15,121.78187,21.77,67.34,40.39,31.72,47.58,33.72,71.05,3.344286,26.85,57.76,21.012081,68.80797,33.0,15.0,97.6725,47.81,22.37,51.55,102.51,8.78607,33.08,33.53,23.79,47.5
2008-01-14,25.024286,25.65,38.03,47.9,47.38,78.87,80.15,14.951164,69.76,37.935,283.8,65.84,59.45,26.64,14.46,63.62,34.96,36.14,47.19,73.98,54.54,44.735,43.455,83.92,322.94794,52.6,31.31,56.608376,7.15,121.558205,22.41,67.31,40.6,31.58,48.59,34.08,71.23,3.247143,27.01,56.8,21.12152,70.15884,32.92,15.34,100.31,48.89,22.63,51.515,103.01,8.885572,33.33,33.13,23.73,43.11
2008-01-15,23.522858,24.99,37.74,47.7,47.33,78.51,76.0,14.355122,67.36,36.69,267.1,65.22,60.15,26.29,14.38,63.71,33.72,35.55,46.94,72.24,54.35,45.195,42.925,83.22,318.008,52.02,29.52,55.94193,7.15,113.77848,22.51,67.45,38.85,31.06,46.65,34.0,70.73,2.958571,26.26,56.43,21.235334,68.57803,32.03,15.73,95.8575,48.45,22.34,49.555,100.25,8.716418,32.31,32.8,23.565,46.77
