Date,AAPL,ABB,ADBE,AEP,AMGN,AMZN,BA,BBD,BP,BTI,C,CAT,CB,CELG,CODI,COST,CRH,CVS,D,E,EIX,EOG,ETN,FDX,GOOGL,GSK,HMC,HON,HRG,IEP,INTC,JNJ,JPM,MDLZ,MS,MSFT,NEE,NFLX,NVDA,NVS,OKE,OXY,PICO,REX,RIO,SAP,SCHW,SU,TM,TSM,UN,WBA,WEC,WMT
2008-01-02,18.842602,20.364925,41.71,29.851336,40.189632,96.25,65.77761,9.82954,42.713116,16.790428,277.867,51.152496,39.44539,23.15,5.406765,52.541805,23.415068,33.479748,30.753988,40.7711,38.390274,40.97742,30.452478,80.550514,342.93793,29.475613,25.441072,46.400105,6.48834,74.011116,18.283447,48.122948,32.913418,16.260176,43.012115,27.327726,46.481495,3.764286,30.586868,36.5017,9.802961,55.123158,23.591366,15.33,52.659153,43.299416,21.661114,42.818825,80.77086,6.752839,25.244617,30.34856,15.246834,36.550903
2008-01-03,18.851307,19.966728,41.79,29.941584,39.404808,95.21,66.05099,9.633177,43.528255,16.983997,277.96304,50.971443,39.361355,24.925,5.432831,51.755302,24.310373,31.284622,30.694489,41.25174,38.498764,41.825794,31.271816,81.62567,343.008,29.828129,25.456453,46.632496,6.435085,75.00285,17.793003,48.137558,32.68708,16.133337,43.003674,27.44412,46.91583,3.724286,30.345955,36.775955,9.859957,56.64283,24.3561,16.04,53.73817,43.179916,21.837366,43.851727,81.10469,6.661108,25.418633,28.495462,15.077777,36.145653
2008-01-04,17.412287,18.98546,40.36,29.844889,38.637234,88.79,65.170074,9.423057,42.893627,16.773033,271.33344,49.631596,39.25151,24.825,5.425384,50.621807,24.408398,31.710028,30.7011,40.760056,38.607254,39.936043,29.951769,78.62461,328.82883,29.546122,24.987318,45.14522,6.461713,75.68855,16.350523,48.07184,31.945616,15.95577,41.619183,26.675959,48.211853,3.515714,27.797823,36.64217,9.717472,54.708057,23.562508,15.41,51.040604,42.266647,21.105927,42.48098,78.85896,6.301239,25.035824,27.869637,15.147951,35.631287
2008-01-07,17.179222,18.309946,40.24,30.715267,39.14608,88.82,62.929916,9.494172,43.662167,16.933973,271.52563,49.776455,39.703873,25.245,5.708383,50.876263,24.23195,32.5013,31.54069,41.505867,39.178623,39.77894,30.309416,78.05435,324.94995,30.991402,24.995008,44.990284,6.470589,73.55779,16.50198,48.816563,32.26561,16.204374,40.78343,26.854418,50.460613,3.554286,24.925377,37.016758,9.662669,53.751217,24.63025,16.23,50.47851,41.18268,21.537735,41.917946,79.26106,6.174226,25.787518,28.503586,15.594513,36.28593
2008-01-08,16.561258,18.494823,39.22,30.695938,39.95678,87.88,60.68216,9.568528,42.96347,16.820875,260.7645,48.63217,38.921936,24.805,5.473792,50.09746,23.01643,31.931246,31.315918,40.715855,39.005028,38.99343,28.647963,77.39057,316.15616,31.396788,24.264383,44.22342,6.364077,75.18423,16.054813,48.87498,30.985607,16.031876,39.170982,25.954357,50.12434,3.328571,25.453537,38.10706,9.629788,52.414486,23.98095,15.87,49.447166,40.781506,20.02199,41.723797,78.176125,6.181282,25.467352,27.820877,15.642355,35.82613
2008-01-09,17.349422,18.544596,39.46,31.069878,41.09518,85.22,60.9783,9.79157,41.798992,17.22324,264.12747,48.69011,39.522915,25.75,5.466344,51.870953,22.277971,31.641981,31.805119,41.12468,39.518555,40.03032,28.836536,77.39057,326.92694,31.937305,24.35667,44.618465,6.364077,74.9802,16.408213,49.5029,31.422676,16.128271,40.529617,26.722513,50.06129,3.285714,26.7693,39.137157,10.594304,53.406506,24.017021,15.57,49.686802,41.054638,20.004364,41.867462,80.60396,6.39297,24.84093,27.43074,15.578562,36.550903
2008-01-10,17.215971,18.615705,39.25,31.095657,41.01757,84.26,62.542625,9.888554,41.61269,17.579927,270.08435,48.820457,39.839584,26.4,5.388144,53.868073,22.258364,32.016323,31.560524,41.27936,39.388367,39.95849,28.670717,79.484726,323.6887,31.825668,24.064423,44.788887,6.399581,74.66851,16.256756,49.583214,32.257812,16.589949,41.10704,26.637165,50.44661,3.528571,26.213348,39.49836,10.741169,51.359173,24.377745,15.0,50.877514,41.83135,20.938486,40.954933,79.19279,6.407083,24.39548,28.05657,15.3489,37.719906
2008-01-11,16.700514,18.110847,38.05,30.921587,41.069317,81.08,61.14536,9.723689,40.844128,16.873074,274.40814,47.806553,38.88963,27.135,5.470067,51.223255,22.506697,31.284622,31.26302,40.605366,39.496853,39.91809,27.974922,78.56854,319.44446,31.220533,24.002895,43.99877,6.417333,71.330635,15.860075,49.561287,31.890972,16.199297,41.09006,26.311277,49.921185,3.344286,25.064373,38.76926,10.546076,51.16218,23.815014,15.18,49.985413,40.977825,19.872168,40.322,78.09267,6.273014,23.059124,27.390102,15.288302,37.18996
2008-01-14,17.28947,18.90724,38.48,31.076326,41.336678,82.87,62.018646,9.768948,40.89071,16.590332,279.21225,48.71907,39.161034,26.99,5.52592,49.89698,23.343184,30.910275,31.441523,41.108105,39.771694,41.821297,28.953592,79.129486,327.23724,30.991402,24.272076,44.765648,6.346325,71.90867,16.64623,49.612423,32.281216,16.133337,41.52312,26.683712,49.942204,3.252857,26.732239,38.086983,10.787201,53.012505,23.908802,16.04,51.15353,42.701942,20.427364,40.488956,78.987946,6.385913,23.330574,27.073132,15.19261,37.151012
2008-01-15,16.347532,17.79798,37.92,30.915152,40.86233,80.24,59.125397,9.384265,39.219666,16.103151,258.84296,47.364758,39.057644,26.74,5.395592,49.334103,22.415205,30.646513,31.064716,40.0032,39.453453,40.92181,28.049702,77.848694,319.14413,30.709398,22.780067,43.797356,6.372953,68.62748,16.364946,49.47369,30.571936,15.75791,40.020138,26.381107,49.746048,3.15,24.76786,37.879635,10.71925,50.641537,23.591366,17.65,48.16864,41.694782,19.792862,38.601788,76.21111,6.188339,22.537107,26.829302,15.259591,36.621056
