Date,AAPL,ABB,ADBE,AEP,AMGN,AMZN,BA,BBD,BP,BTI,C,CAT,CB,CELG,CODI,COST,CRH,CVS,D,E,EIX,EOG,ETN,FDX,GOOGL,GSK,HMC,HON,HRG,IEP,INTC,JNJ,JPM,MDLZ,MS,MSFT,NEE,NFLX,NVDA,NVS,OKE,OXY,PICO,REX,RIO,SAP,SCHW,SU,TM,TSM,UN,WBA,WEC,WMT
2008-01-02,269794700,4697800,6047700,2730700,7934400,13858700,4303000,11403200,2266800,585600,6214600,6337800,2090900,14166600,101400,3736000,59700,16954800,2275300,502000,2777100,4804000,3855800,6514400,8605100,1542000,406700,4184100,1000,24800,84278800,11970500,22122300,5991800,17624100,63004200,1889700,12527900,12099100,1352000,2403100,5664700,126500,21600,447200,3204100,12670200,3600400,373900,13048000,2525800,7298800,1195800,19918600
2008-01-03,210516600,5240200,5186700,2001700,11976300,9122500,3427900,15084300,3600000,412400,5965700,4385900,2351100,19207400,186400,3501000,110600,74308800,2204100,373200,2546000,5088600,3417400,2623000,6498400,1125800,470700,3422600,1600,12500,85190500,9277600,17150700,9466500,11422200,49599600,1579500,21340200,11882700,990200,1737900,6196400,162100,48200,1155200,1761400,6936300,4863600,346200,10655200,3086800,16204900,1087200,19801000
2008-01-04,363958000,6830400,8938700,3546800,10310400,10270000,5393400,15705400,4278900,185400,7545400,7697200,1733600,15948800,151500,4936000,99600,24253100,2729500,542900,2394100,5684200,2871000,4317400,10708800,1429100,418500,5978500,2600,21000,174093400,12714800,25873800,7642500,14448500,72090800,2896800,17202500,18402300,2103000,1088900,6741600,149800,37900,1674800,3765500,7963100,3605800,560400,20526400,1650900,11552400,1225800,20351200
2008-01-07,518048300,12192500,7757600,3153400,8529200,9981600,9961800,16055000,5682600,247000,6891800,8790400,3089600,23325200,875500,3973500,169200,21489600,3237000,644600,2546200,4844400,4446200,3991900,12793900,3877400,907100,5629400,7800,23800,112063700,12352700,25644100,8410500,18767500,80164300,6058500,12693800,25170000,1893400,1257700,8300300,170200,49300,1174800,3728700,9959700,5365800,581800,18029800,1788300,7723200,2330400,20326500
2008-01-08,380954000,5671500,8896200,3460400,20974900,12283300,9810600,14152200,3036800,231200,9998900,7662300,2056400,14516000,277100,5856600,67400,21197600,2639600,480800,1855500,3996800,3810000,4566100,10667500,3692500,1390500,5321200,2200,20800,80520800,13478500,33646000,7997000,22467500,79148300,3184700,14490000,27673900,3519900,2146600,8696800,129200,25700,896800,4145900,12751500,6587800,453900,18814900,1652800,9053600,2086800,19017100
2008-01-09,453470500,6256900,9059100,3169400,12052500,16410900,10307100,13217800,7162600,292200,10781000,9845500,2124700,13203600,137400,8802400,82000,20812200,2492600,1426700,2393800,6048000,4644800,3818100,13465900,2536100,1223100,5807300,2500,13700,73239600,19489900,33546300,9246300,20061800,74305500,3456200,15200500,18525900,3441200,4977900,8846100,156200,21000,840800,3729600,23305100,5000200,867800,20390500,2575800,14386600,1732000,27197600
2008-01-10,370743800,7793900,8393300,3346200,8819900,11609900,9411400,21526200,4759500,349200,10559500,6914600,2846200,14949600,197600,10950500,109700,13815700,2683800,644800,2562200,5305000,5459000,4717200,12655700,1631300,660300,7092800,4800,11300,81185100,13043400,41863600,9782700,20270800,72446000,3392400,13379100,13860800,3499000,2516400,13490900,111500,62000,1052000,3508200,12094000,6317200,802500,15793100,3039500,9405500,1781600,35694800
2008-01-11,308071400,10897300,10801200,2569700,9080900,10624300,6556600,12797800,3174100,436200,8894600,9247500,2081700,16686000,157600,8229300,68100,15373900,2624700,480800,1765000,5747200,3848400,3546800,9944000,1483200,3137800,4518900,5400,15600,75915200,15541800,37520500,9798800,15874500,55187900,2506500,8981700,14315300,2111700,2290700,9609600,99300,126200,1247600,1994100,12076900,4195200,442600,14975700,2501200,7983700,1395000,28185000
2008-01-14,275112600,4889900,7212600,1472500,7262200,9056100,7732600,7759900,2111500,318600,9431500,8106700,4358500,9506200,69400,10121500,78800,17288600,1606300,409700,1763200,5735600,2400400,1889700,8886100,2169400,505200,3350800,1800,9400,85033000,11661600,22817000,8430900,10954300,52792200,2097000,16165800,13479700,2560000,1359200,5590600,91000,91300,681200,8266600,9335800,3480800,385700,14863600,1087300,6754300,1093000,20562600
2008-01-15,585819500,9740500,7776000,2686100,8801600,9655900,16467100,14227800,4030900,395800,22078200,9353400,2716700,9708600,99400,6862100,72400,21121800,2615700,537500,2016200,6582200,2505600,3182500,11125200,1479700,1616600,4417400,400,35100,129312400,11545300,45240000,9273700,12448800,61606200,3299400,37895200,18142300,1962000,1549000,8036800,108900,167300,1743600,3520000,9305700,7011400,861500,17130500,1910700,8780400,3102200,24480100
